Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords
"Jews, Gentiles, and Christianity",Dan Blackwelder,Hardcover,USD 19.99,"Contemplating the rich two thousand year history of Christianity, and the few hundred years of development in the United States, brings to mind the vast divergence and the many forms that comprise this religion. From the orthodox to the independent branch, from the protestant to the restoration movement, there has been division. At the same time, each group gives its own opinion and view as rationalized by their particular cadre of qualified scholars.

With the restoration of Israel as a nation in 1948, and with Jerusalem restored to the Jews in 1967, there has been an emergence of a “new” form or movement of believer. In actuality, is not new, but is the oldest movement based upon the belief in Jesus and his teachings. It is the movement of the Jewish believers in Jesus as the Messiah and Savior.",2012,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Dan Blackwelder,247,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['religion', 'jews', 'gentiles', 'christianity', 'dan blackwelder']"
War of the Jews,LSOE Publications,Ebook,USD 3.99,"War of the Jews is a description of Jewish history from the capture of Jerusalem by the Seleucid ruler Antiochus IV Epiphanes in 164 BCE to the fall and destruction of Jerusalem in the First Jewish-Roman War in CE 70. The book was written about 75, originally in Josephus's ""paternal tongue,"" probably Aramaic, though this version has not survived. It was later translated into Greek, probably under the supervision of Josephus himself.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,,,,,PDF,"['Flavius Josephus', 'religion', 'jewish']"
Jews of Kishinev and Vicinity,Ella Romm,Ebook,USD 10.00,"This book is devoted to the Jews of Kishinev who were numerous at the dawn of the 20th century but mostly disappeared in pogroms, wars and immigration waves. You will meet the people killed in the 1905 Kishinev pogrom and some prisoners of the ghetto during the World War II. I am also including the burial listings from the Kishinev Jewish cemetery and, finally, famous people of Kishinev.",2017,English,9781387334483,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Ella Romm,,,,,EPUB,"['Jews of Kishinev', 'Kishinev Ghetto', 'Kishinev Pogrom', 'Kishinev Cemetery', 'famous people of Bessarabia', 'Struma']"
LEGENDS OF THE JEWS,Jay Mazo,Hardcover,USD 39.65,"Legends of the Jews is a collection of Old Testament tales from the Creation to Esther. Besides the Bible, this anthology makes use of tales selected from the Talmud and the Midrash. These oral and folk stories of key characters fill in and clarify many portions of the Old Testament with charming and captivating details. Thus the Bible becomes more alive and thrilling.",2018,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jay Mazo,800,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['Legends Jews Bible']
Antiquities of the Jews,LSOE Publications,Ebook,USD 5.99,"Antiquities of the Jews(Books 1-20): Beginning with the story of Creation, Flavius Josephus outlines Jewish history. Abraham taught science to the Egyptians, who in turn taught the Greeks. Moses set up a senatorial priestly aristocracy, which like that of Rome resisted monarchy. The great figures of the biblical stories are presented as ideal philosopher-leaders. There is again an autobiographical appendix defending Josephus' own conduct at the end of the war when he cooperated with the Roman forces.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,,,,,PDF,"['religion', 'jewish', 'flavius josephus']"
Jews In Many Lands,Elkan Nathan Adler,Ebook,USD 1.99,"Jews In Many Lands

According to the Hebrew Bible narrative, Jewish ancestry is traced back to the Biblical patriarchs such as Abraham, Isaac and Jacob, and the Biblical matriarchs Sarah, Rebecca, Leah, and Rachel, who lived in Canaan around the 18th century BCE.",2015,English,9781329505537,History,All Rights Reserved - Standard Copyright License,By (author): Elkan Nathan Adler,,,,,EPUB,"['jewish', 'israel']"
Antiquities of the Jews,Josephus,Hardcover,USD 42.91,Unabridged version of Classic work of Jewish History,2006,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Josephus,798,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,[]
COMFORT FOR THE JEWS,Joseph Franklin Rutherford,Hardcover,USD 25.12,"Joseph Franklin Rutherford wrote COMFORT FOR THE JEWS in 1925. COMFORT FOR THE JEWS is an official book of the Watchtower Bible & Tract Society. Joseph F. Rutherford (1869-1942) served as president of the Watchtower Society at the time of its writing. 

Rutherford claimed in COMFORT FOR THE JEWS that: ""The rebuilding of Palestine is now beginning and is well under way. This is being done clearly in fulfilment of prophecy uttered as promises from Jehovah. The mere fact that the Lord said he would overturn it until a set time, is conclusive proof that it is God's purpose to restore Israel to his favor upon certain conditions."" 

This book is an important powerful piece of Watchtower history and should be a part of every theocratic library",2020,English,9781678166243,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Joseph Franklin Rutherford,128,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Watchtower', 'Kingdom Hall', 'Rutherford', 'Charles Russell']"
History of the Jews,HENRY MILMAN,Ebook,USD 2.99,"History of the Jews
Henry Hart Milman, D.D., was born in London on February 10, 1791, died on September 24, 1868, and was buried in St. Paul's Cathedral, of which for the last nineteen years of his life he was Dean. He was the youngest son of Sir Francis Milman, physician to George III, and was educated at Greenwich, Eton and Oxford. Although as a scholarly poet he had a considerable reputation, his literary fame rests chiefly on his fine historical works, of which fifteen volumes appeared, including the ""History of the Jews,"" the ""History of Christianity to the Abolition of Paganism in the Roman Empire,"" and the ""History of Latin Christianity to the Pontificate of Nicholas V."" The appearance of the ""History of the Jews"" in 1830 caused no small consternation among the orthodox, but among the Jews themselves it was exceptionally well received. Dean Milman wrote several hymns, including ""Ride on, ride on in majesty,"" ""When our heads are bowed in woe.""",2013,English,9781300994299,History,All Rights Reserved - Standard Copyright License,By (author): HENRY MILMAN,,,,,EPUB,[]
War of the Jews,LSOE Publications,Paperback,USD 19.38,"War of the Jews is a description of Jewish history from the capture of Jerusalem by the Seleucid ruler Antiochus IV Epiphanes in 164 BCE to the fall and destruction of Jerusalem in the First Jewish-Roman War in CE 70. The book was written about 75, originally in Josephus's ""paternal tongue,"" probably Aramaic, though this version has not survived. It was later translated into Greek, probably under the supervision of Josephus himself.",2008,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,284,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Flavius Josephus', 'religion', 'jewish']"
Antiquities of the Jews,LSOE Publications,Paperback,USD 24.05,"Antiquities of the Jews(Books 1-20): Beginning with the story of Creation, Flavius Josephus outlines Jewish history. Abraham taught science to the Egyptians, who in turn taught the Greeks. Moses set up a senatorial priestly aristocracy, which like that of Rome resisted monarchy. The great figures of the biblical stories are presented as ideal philosopher-leaders. There is again an autobiographical appendix defending Josephus' own conduct at the end of the war when he cooperated with the Roman forces.",2008,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,618,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['religion', 'jewish', 'flavius josephus']"
VALLEY OF THE JEWS,Iosif Migirov,Paperback,USD 9.99,"The novel is a historical narrative about the events that took place at around the year of 1146 CE, when the mountain Jews rose and went to liberate Jerusalem.  This was a very significant, yet still fairly unknown event in Mizrahi history.",2023,English,9781387315505,Fiction,All Rights Reserved - Standard Copyright License,By (author): Iosif Migirov,337,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['jewish history']
A History of the Jews,Jonathan Bergwerk,Hardcover,USD 17.48,"A top-down overview of 4,000 years of history, looking both at what was happening to Jews and to Jewish practice in different ages. 

The book is structured into seven different historical time periods.  There is one chapter for each period which tackles what was happening to the Jews socially and politically, as well as the intellectual and practical developments within Judaism.  The seven periods are:
1 Early Biblical History (from Genesis to Judges)
2 Later Biblical History (from Samuel to Nehemiah)
3 Hellenic and Roman Rule
4 The Early Medieval Period
5 The Later Medieval Period
6 The Modern Period
7 20th Century Issues",2015,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Jonathan Bergwerk,134,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish History', 'Judaism']"
LEGENDS OF JEWS 1,Jay Mazo,Hardcover,USD 39.11,"Legends of the Jews part one is a collection of Old Testament tales from the Creation to Moses in the Wilderness. Besides the Bible, this anthology makes use of tales selected from the Talmud and the Midrash. These oral and folk stories of key characters fill in and clarify many portions of the Old Testament with charming and captivating details. Thus the Bible becomes more alive and thrilling.",2017,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jay Mazo,782,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['Jews Bible Legends']
LEGENDS OF JEWS 2,Jay Mazo,Hardcover,USD 37.97,"Legends of the Jews part two  is a collection of Old Testament tales from Moses in the Wilderness to Esther. Besides the Bible, this anthology makes use of tales selected from the Talmud and the Midrash. These oral and folk stories of key characters fill in and clarify many portions of the Old Testament with charming and captivating details. Thus the Bible becomes more alive and thrilling.",2017,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jay Mazo,744,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['Legends Jews Bible']
Rescue of the Budapest Jews,Eliezer Rabinovich,Paperback,USD 18.02,"Everyone knows about the efforts of diplomats like Carl Lutz and Raoul Wallenberg in saving the Jews of Budapest after the Germans occupied Hungary on March 19, 1944. Almost no one, however, knows that their undertaking would have been entirely impossible if the Jews had not first been saved from deportations by the Hungarian Regent Miklos Horthy. Deprived of real power by the occupation, the 77 year old Horthy found a loyal armored unit, took back partial power and forbade further deportations, thus preserving about a quarter of a million of Budapest’s Jews to be cared for by the diplomats after he was overthrown.",2016,Russian,9781326533168,History,All Rights Reserved - Standard Copyright License,By (author): Eliezer Rabinovich,204,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Rescue', 'Budapest', 'Jews', 'Miklos Horthy', 'Holocaust']"
THE LEGENDS OF THE JEWS,Louis Ginzberg,Ebook,USD 0.00,"THE LEGENDS OF THE JEWS
Volumes I ~ IV
Bible Times And Characters
From The Creation To Esther

732 p.p.  (8.5"" X 11"")

This is a massive collation of the Haggada - the traditions which have grown up surrounding the Biblical narrative. 

These stories and bits of layered detail are scattered throughout the Talmud and the Midrash, and other sources, including oral. 

In the 19th century Ginzberg undertook the task of arranging the Haggada into chronological order, and this was the result.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Ginzberg,,,,,PDF,['Jewish Legends']
It's the Jews (E-book),Froge Unchained,Ebook,USD 8.00,"It's the jews. Always has been, always will be. 

.",2022,English,N/A,Humor,All Rights Reserved - Standard Copyright License,By (author): Froge Unchained,,,,,PDF,"['its', 'the', 'jews']"
Of Tortoises and Other Jews,Hannah Yakin,Paperback,USD 13.99,"""Of Tortoises and other Jews"" is the story of Hannah Yakin's childhood in Holland during the Second World War. Being the daughter of a Jewish mother and a non-Jewish father Hannah has to make sense of many unexpected and unexplained situations.

Hannah and Abraham Yakin live in Jerusalem, Israel. They have eight children, many grandchildren and a growing number of great-grandchildren. Their colorful website,does not only represent their own art but also that of their talented offspring.",2014,English,9789657542224,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Hannah Yakin,96,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Second World War', 'WWII', 'Jewish persecution', 'anti-Semitism', 'Netherlands', 'Amstelveen', 'hiding place', 'Hunger Winter', 'Nazis', 'Amsterdam', 'The Hague']"
The Wars of the Jews,FLAVIUS JOSEPHUS,Ebook,USD 2.99,"The Wars of the Jews
Josephus, in his ""Wars of the Jews,"" gives the only full and reliable account of the tragic siege and destruction of Jerusalem by the Romans under Titus. Excepting in the opening, he writes throughout in the third person, although he was present in the Roman camp as a prisoner during the siege, and before then had been, as governor of Galilee, the brave and energetic antagonist of the Romans. Becoming the friend of Titus, and despairing of the success of his compatriots, he was employed in efforts to conciliate the leaders of the rebellion during the siege, and he was for three years a privileged captive in the camp of the besiegers. His recital is one of the most thrilling samples of romantic realism in the whole range of ancient literature, and its veracity and honesty have never been impugned.",2013,English,9781304000071,Reference,All Rights Reserved - Standard Copyright License,By (author): FLAVIUS JOSEPHUS,,,,,EPUB,[]
THE JEWS ARE THE JEWELS,Raja choudary SAJJA,Paperback,USD 13.40,"An inspirational book for Jewish children .This book is written by my dad and dedicated to all Jews. It highlights  the Great Jews who contributed to the society and the world. It  is a simple book written keeping the Jewish children in mind and contains 108 prose verses.Also read author's other poetry books...THE BIG BANG HIJACKED, HUMOUROUS RUMINATIONS, A BLEAT PLAINTIVE, THREE IN ONE IN SPECIAL DAWN to enjoy author's creative writing in poetic verses for his great thought. (All his books combined contains about 650 poetic verses written in 17 days in the month of Sep 1999).Please visit my webpage at www.wonderisindia.com",2007,English,9781411614864,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Raja choudary SAJJA,110,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Religion', 'Spirituality', 'Prayer', 'Books', 'Devotional', 'Literature']"
JEWS IN DEVELOPMENT OF SPACE,NELI MELMAN,Paperback,USD 8.50,"Today the world space brotherhood speaks also on Chinese, Japanese, Korean, Hindi and many other languages. In this chorus a notable contribution of the Jews. They make about three percent from the number of all astronauts. The specified percent it is incomparable more, than among others nationalities",2017,English,9781387245130,History,All Rights Reserved - Standard Copyright License,By (author): NELI MELMAN,40,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['ASTRONAUT SPACE FLIGHTS']
The Wars of the Jews,Flavius Josephus,Ebook,USD 4.99,"Whereas the war which the Jews made with the Romans hath been the greatest of all those, not only that have been in our times, but, in a manner, of those that ever were heard of; both of those wherein cities have fought against cities, or nations against nations; while some men who were not concerned in the affairs themselves have gotten together vain and contradictory stories by hearsay, and have written them down after a sophistical manner; and while those that were there present have given false accounts of things, and this either out of a humor of flattery to the Romans, or of hatred towards the Jews; and while their writings contain sometimes accusations, and sometimes encomiums, but no where the accurate truth of the facts",2012,English,9781300016519,History,All Rights Reserved - Standard Copyright License,By (author): Flavius Josephus,,,,,EPUB,"['The Wars of', 'the Jews']"
A History of the Jews,Jonathan Bergwerk,Ebook,USD 6.99,"A short history of the Jewish people, with the key facts and trends, taking a top-down overview of 4,000 years, looking both at what was happening to Jews and at Jewish practice. From the smallest of beginnings, a way of life for the Jewish people emerged and over time both the beliefs and practices of that people continually evolved. Authentic Judaism is therefore reforming Judaism.  The book includes study material for use in groups or individually.",2021,English,9781716288326,History,All Rights Reserved - Standard Copyright License,By (author): Jonathan Bergwerk,,,,,EPUB,"['Judaism', 'Jewish History']"
The Jews Counter-Missionary Handbook,Bruce Delmont,Paperback,USD 6.00,"A guide to enable Jews to debate the Biblical proof-texts and theological differences between Judaism and Christianity.  Chapters include: Answers to Missionary Scriptural Interpretations, Answers to Missionary “Proofs,” ""New Testament"" Contradictions, and ""Messianic"" Terminology.",2010,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Bruce Delmont,26,Saddle Stitch,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Judaism', 'Christianity', 'missionaries', 'differences', 'Bible']"
THE LEGENDS OF THE JEWS (1909),LOUIS GINZBERG TRANSLATED BY HENRIETTA SZOLD,Ebook,USD 2.00,"The term Rabbinic was applied to the Jewish Literature of 
post-Biblical times by those who conceived the Judaism of the
later epoch to be something different from the Judaism of the
Bible, something actually opposed to it. Such observers held that
the Jewish nation ceased to exist with the moment when its
political independence was destroyed. For them the Judaism of the
later epoch has been a Judaism of the Synagogue, the spokesmen of
which have been the scholars, the Rabbis. And what this phase of
Judaism brought forth has been considered by them to be the
product of the schools rather than the product of practical,
pulsating life. Poetic phantasmagoria, frequently the vaporings
of morbid visionaries, is the material out of which these
scholars construct the theologic system of the Rabbis, and fairy
tales, the spontaneous creations of the people, which take the
form of sacred legend in Jewish literature,",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LOUIS GINZBERG TRANSLATED BY HENRIETTA SZOLD,,,,,PDF,['LEGENDS OF  JEWS']
"Volume 2954, History of the Jews in Arles --- History of the Jews in Thessaloniki",Print Wikipedia,Hardcover,USD 80.00,"Volume 2954, History of the Jews in Arles---History of the Jews in Thessaloniki

Print Wikipedia is a both a utilitarian visualization of the largest accumulation of human knowledge and a poetic gesture towards the inhuman scale of big data. Michael Mandberg wrote software that parses the entirety of the English-language Wikipedia database and programmatically lays out nearly 7500 volumes, complete with covers, and then uploads them to Lulu.com for print-on-demand. Print Wikipedia draws attention to the sheer size of the encyclopedia's content and the impossibility of rendering Wikipedia as a material object in fixed form: Once a volume is printed it is already out of date. It is also a work of found poetry built on what is likely the largest appropriation ever made. As we become increasingly more dependent on information and source material on the Internet today, Mandiberg explores the accessibility of its vastness.",2015,English,9781329283336,Poetry,All Rights Reserved - Standard Copyright License,By (author): Print Wikipedia,701,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Poetry', 'Reference', 'Wikipedia', 'Mandiberg']"
THE JEWS FROM CYRUS TO HEROD,Norman H. Snaith,Paperback,USD 14.46,"This is a classic work, selected for its cultural, spiritual and literary importance to compose the catalog of works reedited and republished by True Wisdom Books.
(This is a facsimile reproduction from the original edition. Pages with cream colored background).
See a preview of the book in our website (link below)",2022,English,N/A,History,No Known Copyright (Public Domain),By (author): Norman H. Snaith,211,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish History', 'Ancient Israel']"
Sabbath has Kept the Jews,Beth Grossman,Paperback,USD 12.70,"Grossman's art installation, inspired by a Marc Chagall painting, reconnects contemporary Jewish culture with the Sabbath table as altar. The title comes from an old saying, ""Jews do not keep the Sabbath; the Sabbath has kept the Jews,"" written by Asher Ginsburg (1856-1927), pen name Ahad Ha'am.

The Sabbath Has Kept the Jews evokes the historical Tabernacle and the adaptation of the family Sabbath table as altar.  This art work is an homage to the devoted domestic faith of generations of women who have created weekly Sabbath dinners. The Sabbath table rituals signify holy community with the Jewish people everywhere.

As an artist, Grossman interprets Jewish history and rituals using domestic objects chosen for their shape, function or symbolism. Exploring the realm of the sacred in daily life cycles, she draws questions from history, establishes a connection to the present and expresses hope for the future.",2007,English,N/A,Art & Photography,All Rights Reserved - Standard Copyright License,By (author): Beth Grossman,16,Saddle Stitch,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Art', 'Jewish', 'Sabbath', 'rituals']"
Uncomfortable Questions for Comfortable Jews,Meir Kahane,Ebook,USD 0.00,"In Uncomfortable Questions for Comfortable Jews, Meir Kahane touches the most painful nerves and psyches of those Jewish liberals who would prefer to believe that Judaism and Zionism arc compatible with liberal concepts. He challenges us all with such agonizing questions as: If a Jewish and Zionist state was created in Israel to guarantee a homeland for Jews with a guaranteed permanent Jewish majority and Jewish sovereignty, will Arabs be allowed to peacefully and democratically become a majority and turn Israel into an Arab nation? And more. A thought provoking book that will stay in your head long after you've read it.",2015,English,9781329682269,Education & Language,All Rights Reserved - Standard Copyright License,By (author): Meir Kahane,,,,,EPUB,"['meir', 'kahane', 'israel', 'jewish']"
Reaching The Jews For Jesus,Todd Baker,Paperback,USD 20.00,"In this book, you will read of the continuing Gospel outreaches of B’rit Hadashah Ministries to the Jewish people in the land of Israel. The first volume, Messengers of Messiah, chronicled our earlier outreaches to Israel from 2001 to 2005. This is volume two of an ongoing series chronicling this ministry’s Gospel witnessing in the Promised Land from 2006 to 2011.",2012,English,9781300262428,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Todd Baker,330,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['evangelism', 'Yeshua', 'Israel', 'Jewish', 'Messiah', 'missions', 'Jewish evangelism', 'sharing the Gospel', 'witnessing', 'encounters', 'witnessing encounters']"
God's Bargain With The Jews,Robert Strauss,Paperback,USD 18.00,"The fascinating history of the Jews' covenant with God. ""God's Bargain with the Jews (and How They Kept It)"" describes Judaism from Moses to today, across cultures and continents. Over three thousand years, how has Judaism interpreted and acted on God's commandments and promise?",2017,English,9780578190488,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Robert Strauss,300,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish history', 'Judaism', 'covenant', 'Chosen People', 'Jews']"
The Jews Under Roman Rule,W. D. Morrison,Hardcover,USD 24.83,"This is a classic work, selected for its cultural, spiritual and literary importance to compose the catalog of works reedited and republished by True Wisdom Books.
This is a facsimile reproduction from the original edition.
See a preview of the book in our website (link below)",2021,English,N/A,History,No Known Copyright (Public Domain),By (author): W. D. Morrison,461,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Ancient Israel', 'Roman Empire', 'Ancient Jewish History', 'Rome', 'Jews']"
The wars of the Jews,Apostle  Arne Horn,Paperback,USD 26.25,"Wars of the Jews or Judean Wars (Flavius Josephus's Books of the History of the Jewish War against the Romans, Greek, Phlauiou Iōsēpou historia Ioudaikou polemou pros Rōmaious biblia).",2018,English,9780244687137,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Apostle  Arne Horn,414,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Bible', 'Joseph Flavius', 'backgrounds']"
Uncomfortable Questions for Comfortable Jews,Rabbi Meir Kahane,Paperback,USD 29.99,"While it may be a somewhat lesser known work compared to ""Never Again!"" and ""The Story of the Jewish Defense League"", the book "" Uncomfortable Questions for Comfortable Jews"" is no less of a classic piece of militant Jewish-Zionist polemic prose.
This is a must-read for any Jew living in Israel or the West.",2016,English,9781365530869,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Rabbi Meir Kahane,450,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Jewish', 'kahane', 'rabbi', 'Israel', 'Zionism', 'Israeli politics', 'politics', 'conservative', 'Judaism', 'Orthodox', 'traditional']"
The Jews: A Christian Perspective,Dr Charles Vogan,Paperback,USD 15.00,A description of the differences between Judaism and Christianity,2009,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Dr Charles Vogan,157,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jews', 'Christianity', 'Temple', 'Moses', 'Law', 'Bible']"
