Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords
Jews of Kishinev and Vicinity,Ella Romm,Ebook,USD 10.00,"This book is devoted to the Jews of Kishinev who were numerous at the dawn of the 20th century but mostly disappeared in pogroms, wars and immigration waves. You will meet the people killed in the 1905 Kishinev pogrom and some prisoners of the ghetto during the World War II. I am also including the burial listings from the Kishinev Jewish cemetery and, finally, famous people of Kishinev.",2017,English,9781387334483,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Ella Romm,,,,,EPUB,"['Jews of Kishinev', 'Kishinev Ghetto', 'Kishinev Pogrom', 'Kishinev Cemetery', 'famous people of Bessarabia', 'Struma']"
Jews In Many Lands,Elkan Nathan Adler,Ebook,USD 1.99,"Jews In Many Lands

According to the Hebrew Bible narrative, Jewish ancestry is traced back to the Biblical patriarchs such as Abraham, Isaac and Jacob, and the Biblical matriarchs Sarah, Rebecca, Leah, and Rachel, who lived in Canaan around the 18th century BCE.",2015,English,9781329505537,History,All Rights Reserved - Standard Copyright License,By (author): Elkan Nathan Adler,,,,,EPUB,"['jewish', 'israel']"
Antiquities of the Jews,Josephus,Hardcover,USD 42.91,Unabridged version of Classic work of Jewish History,2006,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Josephus,798,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,[]
COMFORT FOR THE JEWS,Joseph Franklin Rutherford,Hardcover,USD 25.12,"Joseph Franklin Rutherford wrote COMFORT FOR THE JEWS in 1925. COMFORT FOR THE JEWS is an official book of the Watchtower Bible & Tract Society. Joseph F. Rutherford (1869-1942) served as president of the Watchtower Society at the time of its writing. 

Rutherford claimed in COMFORT FOR THE JEWS that: ""The rebuilding of Palestine is now beginning and is well under way. This is being done clearly in fulfilment of prophecy uttered as promises from Jehovah. The mere fact that the Lord said he would overturn it until a set time, is conclusive proof that it is God's purpose to restore Israel to his favor upon certain conditions."" 

This book is an important powerful piece of Watchtower history and should be a part of every theocratic library",2020,English,9781678166243,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Joseph Franklin Rutherford,128,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Watchtower', 'Kingdom Hall', 'Rutherford', 'Charles Russell']"
History of the Jews,HENRY MILMAN,Ebook,USD 2.99,"History of the Jews
Henry Hart Milman, D.D., was born in London on February 10, 1791, died on September 24, 1868, and was buried in St. Paul's Cathedral, of which for the last nineteen years of his life he was Dean. He was the youngest son of Sir Francis Milman, physician to George III, and was educated at Greenwich, Eton and Oxford. Although as a scholarly poet he had a considerable reputation, his literary fame rests chiefly on his fine historical works, of which fifteen volumes appeared, including the ""History of the Jews,"" the ""History of Christianity to the Abolition of Paganism in the Roman Empire,"" and the ""History of Latin Christianity to the Pontificate of Nicholas V."" The appearance of the ""History of the Jews"" in 1830 caused no small consternation among the orthodox, but among the Jews themselves it was exceptionally well received. Dean Milman wrote several hymns, including ""Ride on, ride on in majesty,"" ""When our heads are bowed in woe.""",2013,English,9781300994299,History,All Rights Reserved - Standard Copyright License,By (author): HENRY MILMAN,,,,,EPUB,[]
War of the Jews,LSOE Publications,Paperback,USD 19.38,"War of the Jews is a description of Jewish history from the capture of Jerusalem by the Seleucid ruler Antiochus IV Epiphanes in 164 BCE to the fall and destruction of Jerusalem in the First Jewish-Roman War in CE 70. The book was written about 75, originally in Josephus's ""paternal tongue,"" probably Aramaic, though this version has not survived. It was later translated into Greek, probably under the supervision of Josephus himself.",2008,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,284,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Flavius Josephus', 'religion', 'jewish']"
Antiquities of the Jews,LSOE Publications,Paperback,USD 24.05,"Antiquities of the Jews(Books 1-20): Beginning with the story of Creation, Flavius Josephus outlines Jewish history. Abraham taught science to the Egyptians, who in turn taught the Greeks. Moses set up a senatorial priestly aristocracy, which like that of Rome resisted monarchy. The great figures of the biblical stories are presented as ideal philosopher-leaders. There is again an autobiographical appendix defending Josephus' own conduct at the end of the war when he cooperated with the Roman forces.",2008,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,618,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['religion', 'jewish', 'flavius josephus']"
"Jews, Gentiles, and Christianity",Dan Blackwelder,Hardcover,USD 19.99,"Contemplating the rich two thousand year history of Christianity, and the few hundred years of development in the United States, brings to mind the vast divergence and the many forms that comprise this religion. From the orthodox to the independent branch, from the protestant to the restoration movement, there has been division. At the same time, each group gives its own opinion and view as rationalized by their particular cadre of qualified scholars.

With the restoration of Israel as a nation in 1948, and with Jerusalem restored to the Jews in 1967, there has been an emergence of a �new� form or movement of believer. In actuality, is not new, but is the oldest movement based upon the belief in Jesus and his teachings. It is the movement of the Jewish believers in Jesus as the Messiah and Savior.",2012,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Dan Blackwelder,247,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['religion', 'jews', 'gentiles', 'christianity', 'dan blackwelder']"
War of the Jews,LSOE Publications,Ebook,USD 3.99,"War of the Jews is a description of Jewish history from the capture of Jerusalem by the Seleucid ruler Antiochus IV Epiphanes in 164 BCE to the fall and destruction of Jerusalem in the First Jewish-Roman War in CE 70. The book was written about 75, originally in Josephus's ""paternal tongue,"" probably Aramaic, though this version has not survived. It was later translated into Greek, probably under the supervision of Josephus himself.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,,,,,PDF,"['Flavius Josephus', 'religion', 'jewish']"
LEGENDS OF THE JEWS,Jay Mazo,Hardcover,USD 39.65,"Legends of the Jews is a collection of Old Testament tales from the Creation to Esther. Besides the Bible, this anthology makes use of tales selected from the Talmud and the Midrash. These oral and folk stories of key characters fill in and clarify many portions of the Old Testament with charming and captivating details. Thus the Bible becomes more alive and thrilling.",2018,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jay Mazo,800,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['Legends Jews Bible']
Antiquities of the Jews,LSOE Publications,Ebook,USD 5.99,"Antiquities of the Jews(Books 1-20): Beginning with the story of Creation, Flavius Josephus outlines Jewish history. Abraham taught science to the Egyptians, who in turn taught the Greeks. Moses set up a senatorial priestly aristocracy, which like that of Rome resisted monarchy. The great figures of the biblical stories are presented as ideal philosopher-leaders. There is again an autobiographical appendix defending Josephus' own conduct at the end of the war when he cooperated with the Roman forces.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,,,,,PDF,"['religion', 'jewish', 'flavius josephus']"
VALLEY OF THE JEWS,Iosif Migirov,Paperback,USD 9.99,"The novel is a historical narrative about the events that took place at around the year of 1146 CE, when the mountain Jews rose and went to liberate Jerusalem.  This was a very significant, yet still fairly unknown event in Mizrahi history.",2023,English,9781387315505,Fiction,All Rights Reserved - Standard Copyright License,By (author): Iosif Migirov,337,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['jewish history']
Making Jews,Eugene Kaellis,Paperback,USD 21.56,"Dr. Aaron Velinsky realizes that the future of world Jewry is in danger of extinction, largely because of assimilation and a declining birth rate.  He concludes that the only feasible means of sustaining Jewry and Judaism, which he considers very important to the world, is by converting non-Jews to Judaism.

The Return Movement he starts is, in spite of widespread Rabbinic opposition, significantly successful, but a shocking event leaves him disconsolate and convinced his efforts were mistaken.

Davida, the young, dynamic leader of the Movement, challenges his despair and vows to continue the struggle.",2008,English,9781435753273,Fiction,All Rights Reserved - Standard Copyright License,By (author): Eugene Kaellis,314,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jews', 'Judaism']"
It's The Jews,Froge Unchained,Paperback,USD 20.00,"It's the jews, always has been. 

Yes indeed, it's the jews",2022,English,9781470957223,Humor,All Rights Reserved - Standard Copyright License,By (author): Froge Unchained,109,Paperback,Black & White,Pocket Book (4.25 x 6.875 in / 108 x 175 mm),,"['its', 'the', 'Jews', 'lol']"
THE JEWS,Dr. Paul Kaufman,Paperback,USD 25.60,"Is God done with the Jews? Dr. Paul Kaufman presented eight lectures who the Jews are and their history, with emphasis on the time period following 70 A.D.",2018,English,9781387635542,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Dr. Paul Kaufman,72,Paperback,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Jews', 'Israel', 'Hebrews']"
The Jews,Hilaire Belloc,Ebook,USD 2.99,Hilaire Belloc�s controversial study The Jews argues that the Jews are not a minority religion or order but a separate nation with only some aspects of being a religion.,2018,English,9781387508938,History,All Rights Reserved - Standard Copyright License,By (author): Hilaire Belloc,,,,,EPUB,"['Jewish history', 'Judaism', 'Jewish religion', 'diaspora', 'Jewish culture']"
Nazis Need Jews,David Lee Morgan,Paperback,USD 10.22,"David Lee Morgan has travelled the world with his saxophone as a performance poet and musician. He has won the London, UK, and BBC Slam Poetry Championships. He has featured at poetry festivals and events all over the UK, Ireland and the U.S. including StAnza (St. Andrews, Scotland), Lingo (Dublin, Ireland), the New York Poetry Festival, and the Isle of Wight Festival. He is a longstanding member of the Writers Guild (has served on the Executive Committee) and holds a Ph.D. in Creative Writing from Newcastle University. He lives in London,",2019,English,9781911232285,Poetry,All Rights Reserved - Standard Copyright License,By (author): David Lee Morgan,40,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,['POETRY']
King of The Jews,AJ David,Paperback,USD 4.39,"King of The Jews is the 3rd volume of writings by AJ David. The writings use trans-visual perception blurring the lines of the Bible, metaphysics, physical sciences, history, language and art.",2017,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): AJ David,112,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['AJ David', 'Billionaire Teacher']"
Jews With Tools,Jonathan Horovitz,Hardcover,USD 24.95,"A collection of stories about Jon and his friends, and their various power tools. What happens when Jews use Tools? Let's put it this way - it's hilarious!",2012,English,9781300513452,Humor,All Rights Reserved - Standard Copyright License,By (author): Jonathan Horovitz,123,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Humor', 'Horovitz', 'Jews', 'Jewish', 'Tools']"
COMFORT FOR THE JEWS,Joseph Franklin Rutherford,Paperback,USD 12.99,"Joseph Franklin Rutherford wrote COMFORT FOR THE JEWS in 1925. COMFORT FOR THE JEWS is an official book of the Watchtower Bible & Tract Society. Joseph F. Rutherford (1869-1942) served as president of the Watchtower Society at the time of its writing. 

Rutherford claimed in COMFORT FOR THE JEWS that: ""The rebuilding of Palestine is now beginning and is well under way. This is being done clearly in fulfilment of prophecy uttered as promises from Jehovah. The mere fact that the Lord said he would overturn it until a set time, is conclusive proof that it is God's purpose to restore Israel to his favor upon certain conditions."" 

This book is an important powerful piece of Watchtower history and should be a part of every theocratic library",2020,English,9781678166229,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Joseph Franklin Rutherford,128,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Watchtower', 'Kingdom Hall', 'Rutherford', 'Charles Russell']"
Jews and Islam,Ephraim Kholmyansky,Paperback,USD 25.00,Jews and Islam: A History of Conflict and a Path to Dialogue,2022,Russian,9781387513765,History,All Rights Reserved - Standard Copyright License,"By (author): Ephraim Kholmyansky, By (author): Meir Antopolsky, By (author): Pinchas Polonsky",246,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jews', 'Isam']"
Christians and Jews Building Bridges,Marcus Braybrooke,Paperback,USD 17.94,"Christians and Jews Building Bridges tells how Christian-Jewish relations have improved dramatically since the Council of Christians and Jews was founded in 1942. It is now widely recognised that Jesus was a faithful Jew and that Jews and Christians both seek the coming of the Messianic Age or Kingdom of God.

This book looks back at the issues which have been of most importance in Jewish-Christian relations in the last twenty years. The second part of the book is a reminder that dialogue does not take place between religions but between people. It tells the story of some of those active in the life of the Council of Christians and Jews (CCJ)
The book is a sequel to 'Children of One God', which told the story of the first fifty years of CCJ.
Marcus Braybrooke is a retired Anglican parish priest, interfaith activist and author of Meeting Jews. He studied in Jerusalem and was a Director of CCJ. He is President of the World Congress of Faiths and Co-Founder of the Three Faiths Forum.",2013,English,9781291379488,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Marcus Braybrooke,170,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Interfaith Relations', 'Christianity', 'Judaism']"
Jews of Kishinev and Vicinity,Ella Romm,Ebook,USD 10.00,"This book is devoted to the Jews of Kishinev who were numerous at the dawn of the 20th century but mostly disappeared in pogroms, wars and immigration waves. You will meet the people killed in the 1905 Kishinev pogrom and some prisoners of the ghetto during the World War II. I am also including the burial listings from the Kishinev Jewish cemetery and, finally, famous people of Kishinev.",2017,English,9781387334483,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Ella Romm,,,,,EPUB,"['Jews of Kishinev', 'Kishinev Ghetto', 'Kishinev Pogrom', 'Kishinev Cemetery', 'famous people of Bessarabia', 'Struma']"
"Jews, Gentiles, and Christianity",Dan Blackwelder,Hardcover,USD 19.99,"Contemplating the rich two thousand year history of Christianity, and the few hundred years of development in the United States, brings to mind the vast divergence and the many forms that comprise this religion. From the orthodox to the independent branch, from the protestant to the restoration movement, there has been division. At the same time, each group gives its own opinion and view as rationalized by their particular cadre of qualified scholars.

With the restoration of Israel as a nation in 1948, and with Jerusalem restored to the Jews in 1967, there has been an emergence of a �new� form or movement of believer. In actuality, is not new, but is the oldest movement based upon the belief in Jesus and his teachings. It is the movement of the Jewish believers in Jesus as the Messiah and Savior.",2012,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Dan Blackwelder,247,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['religion', 'jews', 'gentiles', 'christianity', 'dan blackwelder']"
War of the Jews,LSOE Publications,Ebook,USD 3.99,"War of the Jews is a description of Jewish history from the capture of Jerusalem by the Seleucid ruler Antiochus IV Epiphanes in 164 BCE to the fall and destruction of Jerusalem in the First Jewish-Roman War in CE 70. The book was written about 75, originally in Josephus's ""paternal tongue,"" probably Aramaic, though this version has not survived. It was later translated into Greek, probably under the supervision of Josephus himself.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,,,,,PDF,"['Flavius Josephus', 'religion', 'jewish']"
Jews In Many Lands,Elkan Nathan Adler,Ebook,USD 1.99,"Jews In Many Lands

According to the Hebrew Bible narrative, Jewish ancestry is traced back to the Biblical patriarchs such as Abraham, Isaac and Jacob, and the Biblical matriarchs Sarah, Rebecca, Leah, and Rachel, who lived in Canaan around the 18th century BCE.",2015,English,9781329505537,History,All Rights Reserved - Standard Copyright License,By (author): Elkan Nathan Adler,,,,,EPUB,"['jewish', 'israel']"
LEGENDS OF THE JEWS,Jay Mazo,Hardcover,USD 39.65,"Legends of the Jews is a collection of Old Testament tales from the Creation to Esther. Besides the Bible, this anthology makes use of tales selected from the Talmud and the Midrash. These oral and folk stories of key characters fill in and clarify many portions of the Old Testament with charming and captivating details. Thus the Bible becomes more alive and thrilling.",2018,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jay Mazo,800,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['Legends Jews Bible']
Antiquities of the Jews,LSOE Publications,Ebook,USD 5.99,"Antiquities of the Jews(Books 1-20): Beginning with the story of Creation, Flavius Josephus outlines Jewish history. Abraham taught science to the Egyptians, who in turn taught the Greeks. Moses set up a senatorial priestly aristocracy, which like that of Rome resisted monarchy. The great figures of the biblical stories are presented as ideal philosopher-leaders. There is again an autobiographical appendix defending Josephus' own conduct at the end of the war when he cooperated with the Roman forces.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,,,,,PDF,"['religion', 'jewish', 'flavius josephus']"
Antiquities of the Jews,Josephus,Hardcover,USD 42.91,Unabridged version of Classic work of Jewish History,2006,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Josephus,798,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,[]
COMFORT FOR THE JEWS,Joseph Franklin Rutherford,Hardcover,USD 25.12,"Joseph Franklin Rutherford wrote COMFORT FOR THE JEWS in 1925. COMFORT FOR THE JEWS is an official book of the Watchtower Bible & Tract Society. Joseph F. Rutherford (1869-1942) served as president of the Watchtower Society at the time of its writing. 

Rutherford claimed in COMFORT FOR THE JEWS that: ""The rebuilding of Palestine is now beginning and is well under way. This is being done clearly in fulfilment of prophecy uttered as promises from Jehovah. The mere fact that the Lord said he would overturn it until a set time, is conclusive proof that it is God's purpose to restore Israel to his favor upon certain conditions."" 

This book is an important powerful piece of Watchtower history and should be a part of every theocratic library",2020,English,9781678166243,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Joseph Franklin Rutherford,128,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Watchtower', 'Kingdom Hall', 'Rutherford', 'Charles Russell']"
History of the Jews,HENRY MILMAN,Ebook,USD 2.99,"History of the Jews
Henry Hart Milman, D.D., was born in London on February 10, 1791, died on September 24, 1868, and was buried in St. Paul's Cathedral, of which for the last nineteen years of his life he was Dean. He was the youngest son of Sir Francis Milman, physician to George III, and was educated at Greenwich, Eton and Oxford. Although as a scholarly poet he had a considerable reputation, his literary fame rests chiefly on his fine historical works, of which fifteen volumes appeared, including the ""History of the Jews,"" the ""History of Christianity to the Abolition of Paganism in the Roman Empire,"" and the ""History of Latin Christianity to the Pontificate of Nicholas V."" The appearance of the ""History of the Jews"" in 1830 caused no small consternation among the orthodox, but among the Jews themselves it was exceptionally well received. Dean Milman wrote several hymns, including ""Ride on, ride on in majesty,"" ""When our heads are bowed in woe.""",2013,English,9781300994299,History,All Rights Reserved - Standard Copyright License,By (author): HENRY MILMAN,,,,,EPUB,[]
War of the Jews,LSOE Publications,Paperback,USD 19.38,"War of the Jews is a description of Jewish history from the capture of Jerusalem by the Seleucid ruler Antiochus IV Epiphanes in 164 BCE to the fall and destruction of Jerusalem in the First Jewish-Roman War in CE 70. The book was written about 75, originally in Josephus's ""paternal tongue,"" probably Aramaic, though this version has not survived. It was later translated into Greek, probably under the supervision of Josephus himself.",2008,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,284,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Flavius Josephus', 'religion', 'jewish']"
Antiquities of the Jews,LSOE Publications,Paperback,USD 24.05,"Antiquities of the Jews(Books 1-20): Beginning with the story of Creation, Flavius Josephus outlines Jewish history. Abraham taught science to the Egyptians, who in turn taught the Greeks. Moses set up a senatorial priestly aristocracy, which like that of Rome resisted monarchy. The great figures of the biblical stories are presented as ideal philosopher-leaders. There is again an autobiographical appendix defending Josephus' own conduct at the end of the war when he cooperated with the Roman forces.",2008,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,618,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['religion', 'jewish', 'flavius josephus']"
VALLEY OF THE JEWS,Iosif Migirov,Paperback,USD 9.99,"The novel is a historical narrative about the events that took place at around the year of 1146 CE, when the mountain Jews rose and went to liberate Jerusalem.  This was a very significant, yet still fairly unknown event in Mizrahi history.",2023,English,9781387315505,Fiction,All Rights Reserved - Standard Copyright License,By (author): Iosif Migirov,337,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['jewish history']
LEGENDS OF JEWS 1,Jay Mazo,Hardcover,USD 39.11,"Legends of the Jews part one is a collection of Old Testament tales from the Creation to Moses in the Wilderness. Besides the Bible, this anthology makes use of tales selected from the Talmud and the Midrash. These oral and folk stories of key characters fill in and clarify many portions of the Old Testament with charming and captivating details. Thus the Bible becomes more alive and thrilling.",2017,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jay Mazo,782,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['Jews Bible Legends']
LEGENDS OF JEWS 2,Jay Mazo,Hardcover,USD 37.97,"Legends of the Jews part two  is a collection of Old Testament tales from Moses in the Wilderness to Esther. Besides the Bible, this anthology makes use of tales selected from the Talmud and the Midrash. These oral and folk stories of key characters fill in and clarify many portions of the Old Testament with charming and captivating details. Thus the Bible becomes more alive and thrilling.",2017,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jay Mazo,744,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['Legends Jews Bible']
A History of the Jews,Jonathan Bergwerk,Hardcover,USD 17.48,"A top-down overview of 4,000 years of history, looking both at what was happening to Jews and to Jewish practice in different ages. 

The book is structured into seven different historical time periods.  There is one chapter for each period which tackles what was happening to the Jews socially and politically, as well as the intellectual and practical developments within Judaism.  The seven periods are:
1 Early Biblical History (from Genesis to Judges)
2 Later Biblical History (from Samuel to Nehemiah)
3 Hellenic and Roman Rule
4 The Early Medieval Period
5 The Later Medieval Period
6 The Modern Period
7 20th Century Issues",2015,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Jonathan Bergwerk,134,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish History', 'Judaism']"
